image_filename,grain_count,average_grain_size_px2,average_pixel_confidence,phase_percentages,needs_review
RG20_3_2.jpg,29,3452.47,0.384,N/A (Grain Analysis),False
RG20_3_3.jpg,33,2852.73,0.393,N/A (Grain Analysis),False
RG20_3_4.jpg,20,5222.55,0.375,N/A (Grain Analysis),False
RG21_1_1.jpg,12,9464.42,0.357,N/A (Grain Analysis),False
RG21_1_2.jpg,21,5249.17,0.371,N/A (Grain Analysis),False
RG21_1_3.jpg,21,5089.86,0.373,N/A (Grain Analysis),False
RG21_1_4.jpg,21,4926.00,0.373,N/A (Grain Analysis),False
RG21_2_1.jpg,20,5150.12,0.384,N/A (Grain Analysis),False
RG21_2_2.jpg,23,4388.93,0.389,N/A (Grain Analysis),False
RG21_2_3.jpg,24,4293.12,0.382,N/A (Grain Analysis),False
RG21_2_4.jpg,23,4522.72,0.379,N/A (Grain Analysis),False
RG21_3_1.jpg,23,4437.07,0.376,N/A (Grain Analysis),False
RG21_3_2.jpg,28,3524.77,0.392,N/A (Grain Analysis),False
RG21_3_3.jpg,20,5273.02,0.375,N/A (Grain Analysis),False
RG21_3_4.jpg,26,3769.85,0.385,N/A (Grain Analysis),False
RG22_1_1.jpg,38,2320.09,0.394,N/A (Grain Analysis),False
RG22_1_2.jpg,35,2566.91,0.397,N/A (Grain Analysis),False
RG22_1_3.jpg,34,2632.62,0.395,N/A (Grain Analysis),False
RG22_1_4.jpg,31,2915.00,0.395,N/A (Grain Analysis),False
RG22_2_1.jpg,28,3482.93,0.376,N/A (Grain Analysis),False
RG22_2_2.jpg,30,3120.42,0.387,N/A (Grain Analysis),False
RG22_2_3.jpg,36,2416.12,0.395,N/A (Grain Analysis),False
RG22_2_4.jpg,33,2680.53,0.397,N/A (Grain Analysis),False
RG22_3_1.jpg,29,3305.67,0.385,N/A (Grain Analysis),False
RG22_3_2.jpg,40,2246.50,0.394,N/A (Grain Analysis),False
RG22_3_3.jpg,36,2568.97,0.385,N/A (Grain Analysis),False
RG22_3_4.jpg,31,2887.10,0.406,N/A (Grain Analysis),False
RG23_1_1.jpg,30,3288.60,0.380,N/A (Grain Analysis),False
RG23_1_2.jpg,32,2774.91,0.392,N/A (Grain Analysis),False
RG23_1_3.jpg,38,2233.20,0.399,N/A (Grain Analysis),False
RG23_1_4.jpg,37,2131.43,0.410,N/A (Grain Analysis),False
RG23_2_1.jpg,29,3352.59,0.380,N/A (Grain Analysis),False
RG23_2_2.jpg,40,2133.86,0.396,N/A (Grain Analysis),False
RG23_2_3.jpg,32,2898.14,0.382,N/A (Grain Analysis),False
RG23_2_4.jpg,34,2521.40,0.399,N/A (Grain Analysis),False
RG23_3_1.jpg,28,3412.04,0.391,N/A (Grain Analysis),False
RG23_3_2.jpg,28,3332.91,0.391,N/A (Grain Analysis),False
